#	DATOS	LANGOSTINO	COLORADO	III	-	IV	REGIONES	SEXO	COMBINADO	2017																									
#	numero	de	años																																
64																																			
#	número	de	edades																																
6																																			
#	edad	inicial																																	
1																																			
#	delta	edad																																	
1																																			
#	numero	de	tallas																																
36																																			
#	indices	de	abundancia	y	captura																														
#Año	Crucero	cv	CPUE	cv	Desemb	cv																											
1961	0	0.1	0	0.2	115	0.05																											
1962	0	0.1	0	0.2	332	0.05																											
1963	0	0.1	0	0.2	314	0.05																											
1964	0	0.1	0	0.2	728	0.05																											
1965	0	0.1	0	0.2	785	0.05																											
1966	0	0.1	0	0.2	851	0.05																											
1967	0	0.1	0	0.2	801	0.05																											
1968	0	0.1	0	0.2	822	0.05																											
1969	0	0.1	170.61	0.2	1125	0.05																											
1970	0	0.1	155.27	0.2	1453	0.05																											
1971	0	0.1	201.09	0.2	281	0.05																											
1972	0	0.1	0	0.2	53	0.05																											
1973	0	0.1	0	0.2	0.001	0.05																										
1974	0	0.1	223.85	0.2	0.001	0.05																											
1975	0	0.1	202.26	0.2	139	0.05																											
1976	0	0.1	0	0.2	118	0.05
																										
1977	0	0.1	0	0.2	314	0.05																											
1978	0	0.1	142.55	0.2	396	0.05																											
1979	0	0.1	152.77	0.2	65	0.05																											
1980	0	0.1	0	0.2	217	0.05																											
1981	0	0.1	141.48	0.2	0.001	0.05																											
1982	0	0.1	168	0.2	56	0.05																											
1983	0	0.1	143.01	0.2	1073	0.05																											
1984	0	0.1	141.61	0.2	1545	0.05																											
1985	0	0.1	140.75	0.2	1565	0.05																											
1986	0	0.1	146.75	0.2	1353	0.05																										
1987	0	0.1	174.36	0.2	2197	0.05																											
1988	0	0.1	146.66	0.2	2340	0.05																											
1989	0	0.1	118.52	0.2	2537	0.05																											
1990	0	0.1	138.54	0.2	2469	0.05																											
1991	0	0.1	153.98	0.2	3158	0.05																										
1992	0	0.1	135.2	0.2	3764	0.05																											
1993	0	0.1	146.97	0.2	4061	0.05																										
1994	0	0.1	158.09	0.2	4382	0.05																											
1995	0	0.1	167.54	0.2	4358	0.05																										
1996	0	0.1	176.29	0.2	4372	0.05																											
1997	0	0.1	191.67	0.2	5180	0.05																											
1998	0	0.1	160.43	0.2	3572	0.05																											
1999	19996	0.1	141.7	0.2	5492	0.05																											
2000	20361	0.1	136.45	0.2	4345	0.05																											
2001	16351	0.1	137.49	0.2	3592	0.05																											
2002	9908	0.1	139.03	0.2	2917	0.05																											
2003	10614	0.1	143.16	0.2	1883	0.05																											
2004	13264	0.1	157.4	0.2	1980	0.05																											
2005	13179	0.1	167.36	0.2	1426	0.05																											
2006	17625	0.1	186.59	0.2	1340	0.05																											
2007	0	0.1	207.3	0.2	1284	0.05																											
2008	12963	0.1	208.13	0.2	1501	0.05																											
2009	10340	0.1	221.85	0.2	1607	0.05																										
2010	0	0.1	212.83	0.2	1307	0.05																										
2011	11533	0.1	224.52	0.2	1302	0.05																											
2012	10162	0.1	217.41	0.2	1137	0.05																											
2013	10674	0.1	210.15	0.2	1078	0.05																											
2014	7978.7	0.1	176.27	0.2	821	0.05																											
2015	11386.8	0.1	0	0.2	848	0.05																											
2016	9552	0.1	166.61	0.2	874	0.05																											
2017	12293	0.1	207.72	0.2	1136	0.05																											
2018	9569	0.1	199.42	0.2	866	0.05																											
2019	12949	0.1	165.37	0.2	783	0.05																											
2020	13837	0.1	179.8	0.2	517	0.05																											
2021	13993	0.1	185.35	0.2	524	0.05																											
2022	12667	0.1	188.52	0.2	898	0.05																											
2023	0	0.1	181.06	0.2	877	0.05																											
2024	0	0.1	0	0.2	968	0.05																										
#	Grupos	de	talla																																
10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
#	Estructura	de	tallas	en	la	captura	(1998	y	1999	base,	sci	en	adelante,	2013	base	parcial)																			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.00071	0.00085	0.00779	0.0135	0.02189	0.04219	0.06905	0.1151	0.15391	0.15558	0.14584	0.10999	0.06914	0.0495	0.02729	0.01245	0.00416	0.00106	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.00035	0.00035	0.00069	0.00258	0.00481	0.00806	0.01872	0.04484	0.08524	0.10471	0.14432	0.17701	0.16658	0.1165	0.06272	0.04282	0.01521	0.00346	0.00104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
